,Unnamed: 0,comment_text,toxic
16452,16452,Thanks again for both your help and your support.,0
27683,27683,"""Although I moved it earlier to The Netherlands, comparing with United States, """"The"""" may not be needed. 13:32, 21 Mar 2005 (UTC)

See also Wikipedia:Naming_conventions_%28definite_and_indefinite_articles_at_beginning_of_name%29#Rule_of_thumb. Usually one does not capitalize the """"the"""" in """"the Netherlands"""" inside a sentence, which would mean that the article name should be without """"The"""". 14:05, 21 Mar 2005 (UTC)

The Netherlands cannot be compared with United States. The short form of Kingdom of the Netherlands is normally The Netherlands, and while a form Netherlands does occur this is always prefixed by """"the"""" in a sentence. From CIA factbook: """"The Netherlands remained neutral in World War I, but suffered invasion and occupation by Germany in World War II. A modern, industrialized nation, the Netherlands is also a large exporter of agricultural products."""" """"The Netherlands has a prosperous and open economy, which depends heavily on foreign trade."""" """"The Netherlands, along with 11 of its EU partners, began circulating the euro currency on 1 January 2002."""", etc. The form 'Netherlands' (without the article) is nowhere used in the article itself except when listing the short name (where it is acceptable). Any and all references to the country must include 'the'.  14:17, 21 Mar 2005 (UTC)

Your argument doesn't work because the same could be applied to the US: I could use almost the exact same wording. The short form of The United States of America is normally The United States, and while a form United States does occur this is always prefixed by """"the"""" in a sentence. From CIA factbook: """"were recognized as the new nation of the United States of America following the Treaty of Paris..."""" """"The US has the largest and most technologically powerful economy..."""" """"undocumented nationals from Mexico and Central America continue to enter the United States illegally"""", etc. The form 'United States' (without the article) is nowhere used in the article itself except when listing the short name (where it is acceptable). Any and all references to the country must include 'the'...and yet Wikipedia still places the article at United States, showing that your argument that the usage in the CIA Factbook does not mean that Netherlands must be preceded by an article in Wikipedia. —  18:15, Mar 21, 2005 (UTC)

This must go properly through Wikipedia:Requested moves. It didn't last time, when it was removed from Wikipedia:Requested moves almost as soon as it was put up, before there could be any debate (see ). —  18:01, Mar 21, 2005 (UTC)

""",0
7850,7850,"""

No it isn't. Pathetic. I have better things to do than stalk a troll like Tarc. Ask , if you doubt my involvement with Beatles albums articles.♦  """,1
27225,27225,"Physical Chemistry 

Yeah, i was reading around it and it's pretty bad as is.. as i see it, the Physical Chemistry article should be a similar kind of article as the Thermodynamics article is; an overview of the key principles included in the actual thing itself as well as the foundation of it. I've not got too many books on physical chemistry  on the article itself, i've only got about 4 of those mentioned.

The majority of the books i have featuring physical chemistry tell me also that chemical physics seem to be some forms of misprints, or so  there was a story on how someone published the name incorrectly due to the fact they thought it was mostly based in chemistry, so therefore it was chemistry with physics in it; chemical physics. Not too sure about it though.. chemical physics could be a pseudonym for thermodynamics of activation or something similar; who knows? The books, i guess! -)",0
13844,13844,"Hello,sorry to waste you're time 

hello, sorry to waste your time.I'm sure you are very busy,but you are a faggot?",1
9914,9914,"Hi, please don't edit out my revised opinion of Whophd's comment on the chaser's war on everything talk. this time i make a valid point. the guy is a pompous fuckwit with a penis in each ear. thanks",1
538,538,"Nirmal95

Dude chill!.Dont act like you are the protector of wikipedia or something,and don't try to warn me and all that,be polite you ass!.It is a known fact that the person whom i have added a photo has committed tax fraud and it is appropriate to show the enforcement capabilities of income tax dept in Indian Revenue Service page,it is not defamatory it is a goddamn fact! as for Directorate General of Income Tax Investigation it is not my fucking personal commentary,it is what IRS people the employees of the organisation do when they are posted in the organisation. Don't you understand it was important to the page.Instead of helping and guiding young Wikipedia editors like me,you threaten me???It grieves my heart to see it just being deleted by YOU!(  )",1
27264,27264,"""
My original text read """"one-party state"""". Clearly, someone has changed it to """"multi-party"""" in the last month or so. (  )""",0
29612,29612,"Mission High graduate?

Hello Zedla, I am still looking for a link to the fact that I actually attended and graduated from Mission High School in San francisco in 1972, an experience I can vouch for but you seem to think you can question. I may have to go over there, ask the librarian for a copy of the 1972 yearbook and scan it, or maybe I can dig out my construction paper diploma, but I know where I went to high school and you don't, so please, give me a few weeks to seek out my proof.

Besides, anyone who would try and claim to have graduated from my poorly funded, strife-ridden inner city high school would probably be a little sick in the head.",0
21281,21281,"""

""""Until 2002, public universities had race-based quotas for admitting students.""""
This is not true. 

I don't see what the entire comparison of affirmative action of black Americans has to do with this article - they are a minority group, so effective comparisons are not possible.""",0
18364,18364,"""Does the US have a different definition of """"city""""? This place has under 1000 inhabitats!""",0
670,670,"mind telling me 

mind telling me why you have an automated bot who blindly reverted my honest edit within seconds? Without you even looking at it? Fuck you.",1
28268,28268,"""==Notability of Alden Force==
 A tag has been placed on Alden Force requesting that it be speedily deleted from Wikipedia. This has been done because the article appears to be about a real person, organization (band, club, company, etc.), or web content, but it does not indicate how or why the subject is notable: that is, why an article about that subject should be included in an encyclopedia. Under the criteria for speedy deletion, articles that do not indicate the subject's importance or significance may be deleted at any time. Please see the guidelines for what is generally accepted as notable. If this is the first page that you have created, then you should read the guide to writing your first article.

If you think that you can assert the notability of the subject, you may contest the deletion by adding  to the top of the page (just below the existing speedy deletion or """"db"""" tag), coupled with adding a note on the article's talk page explaining your position, but be aware that once tagged for speedy deletion, if the article meets the criterion it may be deleted without delay. Please do not remove the speedy deletion tag yourself, but don't hesitate to add information to the article that would confirm the subject's notability under Wikipedia guidelines.

For guidelines on specific types of articles, you may want to check out our criteria for biographies, for web sites, for bands, or for companies. Feel free to leave a note on my talk page if you have any questions about this.    """,0
7581,7581,If you don't like it. You can kiss my Rebel ass.,1
7720,7720,He was right. You are all a bunch of bullies. I am brand new here and the first thing you tell me is I am acting inappropriately. Wikipedia reliability just suffered another loss.,1
5143,5143,do so sexually with me,1
21545,21545,I've nonetheless placed warnings onto the IP talkpages,0
14129,14129,There you happy. I posted a link. Fuck you and Fuck Jimbo whatever.,1
13699,13699,"""
Also...good use of fuck.  As you noted, it's well tolerated on this page.   Talk• Contributions """,1
18745,18745,"""
But Stranger Danger is so fun (. Good luck again!<3  TALK!! """,0
12963,12963,"moooovvvvvveeeeeeeeeerrrrrrrrr fuuuuuuuuuuuuuucccccckkkkkkkkkkkkkkeeeeeeeeeeeer
why the hell did you block oliver hacker pro
imbisil",1
16631,16631,"""

 Horror Society 

Their editorial staff is listed on their site. '''' Michael Q.'' """,0
20871,20871,"And ANOTHER THING, PLEASE LEAVE MY LEV369 PAGES AND NON-ACCOUNT TALK PAGE 
(PRIOR TO GETTING A NEW ACCOUNT)
~~Lev369~~ (talk) bye!!! O8:57 P.M. 21 October 2009",0
12543,12543,"EkoGraf - EK728 

Since them deleted my earlier comment I'm the same niger from two years ago who posted that crap up about - Battle of Aguelhok - you deleted my crap I deleted yours. Just want to tell u i know your autistic and I'm here fore you man. As far as I'm concern this comment is clean as can be.",1
5956,5956,"It doesn't offend me, but that's the thing about strong language, it's use can have unforseen consequences. Now do fuck off, there's a good chap.",1
26347,26347,"""

 ANI Discussion 

I am currently blocked and unable to properly defend myself at a discussion at WP:ANI.  I request that a neutral admin copy this content to that area.  

 writes:

""""Yet again, I ask LedRush, the 152.x.x.x IP, or anyone else, to point out any time where myself, MLauba, John or any other admin who has acted administravely here has edited the article to favour one POV or the other. Here's a clue - you can't, because it hasn't happened. Either put up or shut up. Black Kite (t) (c) """"

Really?  says here that there has been systematic exclusion of reliable sources.  Look at the responses by  to my list of reliable sources on the Meredith Kercher topic.  here.  I have fully proven that Black Kite engaged in """"systematic exclusion of reliable sources.""""  False allegations of AGF and NPA were made against me for saying the same thing that Jimbo found when he came to the page.

I have another idea.  How about somebody go over and remove 's block of Gregmm.  Let's see if he's a sockpuppet or not.  What can it hurt to unblock him and see what happens.    """,0
20768,20768,"She has plenty of real-world references, thank you. I am an editor and can create or change pages. You are being disruptive.",0
5469,5469,"Hello 

What's up dickhead how's it going ?",1
25142,25142,"""

 Steven E. Jones 

in response to  

please stop deleting tags at will.

Those tags were originally chosen by Morton  devonshire, who made the following change first. 

Anyone making such a change should not be editing wikipedia.

Your own comments (""""conspiracy theorist"""") is harrassment and not professional. Using that term shows that you are not taking the issue seriously. Therefore, you should not be editing these 9/11 pages.
 """,0
21666,21666,"Makes me want to vomit
The way they're hand holding SPUI especially after the way they treated me, yourself and Gateman. Especially how I was permbanned even though truth and evidence were on my side. I'm starting to wonder if this project is anything but a who knows who club. I could get 50,000 edits pretty quick too making the type of crap redirect edits he does.",0
17127,17127,I'm confused?  just had to type something tho to see what it's all about???,0
4838,4838,and why the fuck you say fuck you up there? fuck you too man!,1
11467,11467,"Hello fuckhead,
Contributions my faggot asshole. You think that because im gay that i dont know shit. you are wrong. you just sit there with nothing to do with your pathetic fucking life that you decide to go and be a complete prick on wikipedia and just delete whatever the fuck u want. Thanks nazi fuck.",1
5856,5856,"Hey, mensa! 

You should check the history to see who first violated the three-edit war.   You didn't do shit to him. 206.124.6.222",1
21,21,Give me a permanat block raseac....!!! remember me....!!! Muslims dont you worry for these images they are trying to hurt us but they cant look these images are fake and have nothing to do with Islam or our prophet even their article is so lame wikipedia is not an authentic source its an encyclopedia for the kids which has not authenticity anyone can edit or write whatever they think...just like raeasc you can see he does not knows what Islam is and he talks about it so forget about wiki its lame they have no authenticity...i recommend they should add pissed christ in jessus article....they should...,1
18514,18514,""" click on the """"Edit"""" tab at the top of the window.
 If you need any assistance, you can ask for help at the [ Articles for creation help desk], or on the [. Please remember to link to the submission!
You can also get live chat help from experienced editors.
Thank you for your contributions to Wikipedia!   """,0
24509,24509,"""

 Please do not vandalize pages, as you did with this edit to Corinth. If you continue to do so, you will be blocked from editing.  talk """,0
20041,20041,"""

Rollback rights
Are my rollback rights revoked? contribsTALK """,0
27936,27936,"""

I am not an expert in this, but all I know is that every night when my AVG Anti-Virus software runs, in the morning it shows two cookies from webtrends: (1) """"m.webtrends[2].txt"""" and (2) """"m.webtrends[2].txt:m.webtrends[2].txt.b4xxxxxx"""".  Webtrends has put something on my computer and AVG Anti-Virus says it is an """"infection"""" and a """"potentially dangerous object"""".  I visit sites like The New York Times et al, and I know they put cookies on my computer, but AVG Anti-Virus doesn't consider them to be """"infections"""" or """"potentially dangerous objects"""", so something must be up.  Can you explain why AVG Anti-Virus points out the Webtrends cookies?  Thanks in advance.""",0
15751,15751,"He is, self-confessed , and approved by my observations (see, e.g., history of Soviet partisan). BTW, you're the first to object ).",0
15671,15671,"McKinsey & Company ==

I think the best route would be to drop a note at WP:BUSINESS. (T / C / WP:FOUR / WP:CHICAGO / WP:WAWARD) 

==",0
12815,12815,"Yeah, like the fact that he is gay; I mean, he was in a boyband for Christ´s sake... whaaaaat a homo.",1
23592,23592,"""It's other way around in Serbia. Women date or have sex with """"bad boys"""", but they always marry not nice guys, but total wimps. The more of a wimp you are, the better you are off...

""",0
20438,20438,"Dude, Where's the Beef? 

Spellcast and his dark magick tryed to curse the beef. But the beef shall not grow old and moldy until this flame war has ended and 'ST: of Gods and Men' is proven one bad film. Beefcake. BEEFCAKE!",0
7594,7594,"""

 you ARE STALKING MY EDITS . PERIOD. Find Something to do . YOU SAID THE BURDEN WAS ON ME FOR ADDING STUFF. I NEVER ADDED ANYTHING. The other Editor did and its  not a GENRE WAR its NOT TRUE. those bands are NOT HARDCORE PUNK NOR WOULD A MUCI STORE SELL THEM AS SO. I don't """"need"""" to do anything. If anything I will have to edit from somewheres you'll never track . With all Respects. BYE ALREADY ! Go Try and be self important to someones else. (You were) DEFENDING THE RISE AGAINST ARTICLE THAT HAD THREE CONTRADICTIONS In the first two paragraphs alone . How come it was changed if I was """"wrong"""" YOU COULDNT SEE THAT HUH. BYE ALREADY . Keep your """"scorecards"""" on your page and wait for some praise. Once again. BYE ! (yeah I kow Im so cool you have to """"watch"""" this takpage. GOSH I DONT KNOW HOW I ENDED UP ON ALMOST 50 PAGES WITHOUT YOUR HELP ! Gosh Im so Grateful you take so much interest in me.NOT.  73.193.195.69  """,1
21384,21384,"Meigle Vics A.F.C. are an amateur football team playing in the Perthshire Amateur Football League.

The Club have played in the league since formation on the 8th August 1970, and have played their home games at Meigle's Victory Park since.",0
11518,11518,Fuck offfff.!!!!!!!!!!!!!,1
3033,3033,"Please ban me 

This pedia is a wiki pedia and not an encyclo pedia of useful knowledge instead it gives mis information which acts to pro mote agendas",1
17426,17426,"In accordance with Wikipedia:WikiProject_Drugs naming policy, I propose we move this page to the INN corticotropin. If you have any concern with this proposal, please discuss it on this page.  00:01, 22 Dec 2004 (UTC)",0
7600,7600,"Achievement - YOU ARE A BlTCH 

Get off my talkpage you gay arse.",1
26679,26679,"Jane Williams 

Thanks a lot for the review, I saw the backlog and was afraid I would be waiting for months. It is great to get my first GA after a year on Wikipedia.",0
29437,29437,"no hall yet, maybe later, but if he was on the royals all his life, nobody would know much about him, just another David DeJesus. He's a lucky guy to have his career turn out this great",0
28888,28888,"Self important much, Brian? 79.97.92.28",0
29067,29067,"""
Kenatipo, it is not for you to remove information about the charges were """"politically motivated payback"""" for what you call """"Jim Wright and the evenly bi-partisan Ethics Committee"""". Your partisanship is beyond obvious, and you are basing your content edits on your personal and political beliefs. I reiterate my earlier request for an editor to lock this page and restore improperly deleted material.   Black Max""",0
4946,4946,"im going to punch jim wales one day. ill find him, then ill fucking punch him out.",1
24173,24173,"'Mixed-NOCs' doesn't represent any subtotal (contrary to EU GDP in your example), it is rather arbitrary mix of athletes from different countries.

The current medal table serves the sole purpose of NOC comparison - and 'Mixed-NOCs' introduces some confusion into this comparison. Look, it is definitely listed for comparison here, taking its place according to its medal count (even without rank assigned). Why not to show another medal table to the right of the current medal table? And this second table would contain medals of different NOCs, won by athletes within mixed-NOC teams. Mixed-NOC competitions shouldn't be considered somewhat less relevant, so this table is also a relevant one. It is separated just because there's no valid reason to combine them together within NOC medal table, since it would compromise the purpose of NOC comparison.",0
18886,18886,"Listen 

I don't care WHO you are! I run things in this town! ME!",0
28252,28252,"""
 Thanks I will draft something and put it forward.  In the mean time patience don't edit.   TALK """,0
20440,20440,"""

 New source 

Editors may be interested to read """"Wikipedia awash in 'frothy by-product' of US sexual politics"""". You knew this would happen sooner or later.    """,0
4263,4263,"This article is a piece of dogshit written by pigfuckers

There's no reason for this in a general interest encyclopedia.  Take it to the Battlestar Wiki.  It's garbage, and I'd like to see it deleted.",1
17399,17399,It was no accident. He was frozen on purpose. Go ahead and change the article.,0
8953,8953,you are a sad f*cking fagg*t get a life u d*mb d*irty little a*fgan or who ever  u are eat s*it n*gga hon*ey ba*tard,1
27652,27652,"Look, it's okay.  In the GA process, the reviewer is king.  I've done about 40 GA reviews myself, and while most went smoothly, a couple of times the nominator ended up furious with me.  Going to GA was your idea in the first place, so I'd say stick with it, work out a series of cuts with the reviewer that you both can tolerate, and get the green star (or whatever that thingamajig is).",0
1915,1915,I hate you and your midget weenie and everything about your face. Come at me bro,1
30482,30482,"I am a very efficient person, who can steer the ape",0
15516,15516,", and man has also created new words even after modern languages have already been established",0
14142,14142,freakofnuture can suck it!,1
16044,16044,"The article Sebastien Larroudé has been speedily deleted from Wikipedia. This was done because the article seemed to be about a person, group of people, band, club, company, or web content, but it did not indicate how or why the subject is notable, that is, why an article about that subject should be included in Wikipedia. Under the criteria for speedy deletion, articles that do not assert notability may be deleted at any time. If you can indicate why the subject is really notable, you are free to re-create the article, making sure to cite any verifiable sources.

Please see the guidelines for what is generally accepted as notable, and for specific types of articles, you may want to check out our criteria for biographies, for web sites, for bands, or for companies. Feel free to leave a note on my talk page if you have any questions about this.   (talk to me)",0
1968,1968,"The Brits are generally dumber than the Yanks, they are basically fish and chips goobers, while the Russians are the smartest of all, especially in all cultural things.  You seem like a good guy although your picture is strange as hell.  With a face like that, I would not want you dating my sister, hell, I wouldn't want you dating my german shepherd  LOL",1
3056,3056,"}}. 

It seems to me that I was right is stating that some Wiki contributors are small minded little tyrants who resent anyone who knows more and better than themselves and who feel duty bound to correct them.

I see one of the posts that upset you is my copying Corbetts quote of fellatio yet you allowed Corbett to state and restate this childish lavatory humour.
Unblock me immediately and get a grown up life.

.",1
15272,15272,"Horse's ass 

Seriously, dude, what's that horse's ass doing on Wikipedia?  Should I delete it?  It really isn't serving any purpose, is it?",1
16543,16543,"Hello friend 

Just to tell you that I cannot tolerate wrong information on wikipedia. 
You guys have to give all aspects of a information, be it good, bad, acceptable, unacceptable, or controversial, without hiding anything to make the information complete.  Wikipedia is the information people trust upon, so it implies that has to be 100% true. Be bold, that is how you can bring a change, you are in the position to do just that. 
One who fears, has a very good reason, that he cannot face the truth.",0
24345,24345,"Glad you have had pleasure from St Dildo, Brian. We like to keep you and 'Dave' entertained, as you do us with your creative 'neo-futurist' use of English. Now, back to the point at hand, what is your cogent argument in response to the evidence in Irish nationality law that Phil was legally entitled to Irish nationality. Do you have any evidence that he did not embrace this option which was open to him, and if so would you like to present it here? If not, I suggest you do not post further distractions.",0
9609,9609,"""

Why on earth do you think I give a fuck about your opinion?  Especially when you're wrong.  How many is """"some""""?  Exactly.  FOAD.""",1
